date,Open,High,Low,Close,Adj Close,Volume,symbol
2024-11-26,57900,58900,57500,58300,58300,23209405,005930
2024-11-27,57700,57800,56000,56300,56300,21808387,005930
2024-11-28,56000,56400,55200,55500,55500,20001134,005930
2024-11-29,55100,55300,53800,54200,54200,24513531,005930
2024-12-02,54300,54400,53100,53600,53600,22044867,005930
2024-12-03,53100,54400,53100,53600,53600,23374603,005930
2024-12-04,52000,53400,52000,53100,53100,29004766,005930
2024-12-05,53200,54400,53200,53700,53700,23588277,005930
2024-12-06,53900,54400,52700,54100,54100,22861874,005930
2024-12-09,53500,54600,53200,53400,53400,26227680,005930
2024-12-10,54500,54500,53700,54000,54000,20783970,005930
2024-12-11,53600,54200,53400,54000,54000,14565947,005930
2024-12-12,54000,56500,53900,55900,55900,33476698,005930
2024-12-13,55800,56300,55500,56100,56100,15908823,005930
2024-12-16,56300,56600,55200,55600,55600,15277277,005930
2024-12-17,54700,55200,54000,54200,54200,20215230,005930
2024-12-18,54100,55400,54000,54900,54900,13698937,005930
2024-12-19,53500,53800,53100,53100,53100,22481925,005930
2024-12-20,52700,53100,51900,53000,53000,24674774,005930
2024-12-23,53400,54000,53300,53500,53500,13672650,005930
2024-12-24,53700,54500,53600,54400,54400,11634677,005930
2024-12-26,54500,54600,53500,53600,53600,10517075,005930
2024-12-27,53500,54100,53200,53700,53700,10747196,005930
2024-12-30,53300,54000,53100,53200,53200,12624702,005930
2025-01-02,52700,53600,52300,53400,53400,16630538,005930
2025-01-03,52800,55100,52800,54400,54400,19318046,005930
2025-01-06,54400,56200,54300,55900,55900,19034284,005930
2025-01-07,56800,57300,55400,55400,55400,17030235,005930
2025-01-08,54800,57500,54700,57300,57300,26593553,005930
2025-01-09,57600,57700,56100,56100,56100,24490592,005930
2025-01-10,56100,56500,55200,55300,55300,16059223,005930
2025-01-13,54600,55000,54100,54100,54100,16868600,005930
2025-01-14,54200,54600,53700,53900,53900,17465926,005930
2025-01-15,54100,54700,53500,53700,53700,18625025,005930
2025-01-16,54200,55000,54100,54300,54300,18627298,005930
2025-01-17,53800,54100,53200,53700,53700,18805344,005930
2025-01-20,53600,53900,53300,53400,53400,11822531,005930
2025-01-21,53700,54300,53300,53500,53500,13535702,005930
2025-01-22,53400,54400,53100,54300,54300,18341991,005930
2025-01-23,53700,54100,53500,53700,53700,15588067,005930
2025-01-24,53600,53800,53200,53700,53700,11867631,005930
2025-01-31,52200,53000,51700,52400,52400,42186279,005930
2025-02-03,51100,51400,50800,51000,51000,32344897,005930
2025-02-04,51600,53600,51500,52700,52700,27214851,005930
2025-02-05,53600,53800,52800,52900,52900,15974885,005930
2025-02-06,53400,54000,53200,54000,54000,16466025,005930
2025-02-07,53900,54200,53600,53700,53700,14476866,005930
2025-02-10,53000,55900,52900,55600,55600,27577591,005930
2025-02-11,55500,56300,55000,55700,55700,24596196,005930
2025-02-12,55100,55900,54500,55800,55800,26428596,005930
2025-02-13,56100,56400,55600,55800,55800,22448377,005930
2025-02-14,56000,57300,56000,56000,56000,23979779,005930
2025-02-17,56100,56500,55700,56000,56000,11916027,005930
2025-02-18,56200,57200,55900,56900,56900,22131007,005930
2025-02-19,57400,58900,57300,58700,58700,25395151,005930
2025-02-20,59100,59100,58100,58400,58400,21589059,005930
2025-02-21,58400,58500,57100,58200,58200,22198428,005930
2025-02-24,57300,57700,57200,57300,57300,14138471,005930
2025-02-25,56600,57800,56500,57200,57200,14625181,005930
2025-02-26,57000,57100,56100,56600,56600,18117091,005930
2025-02-27,56500,57100,56200,56300,56300,14975356,005930
2025-02-28,55400,55700,54500,54500,54500,28036698,005930
